nunUI_20150317_000001	{@st41b}Lerne ein Attribut{nl}von deinem jeweiligen Klassenmeister.{/}
UI_20150317_000002	{@st43}Liste der Attribute {/}
UI_20150317_000003	{@st59}Schließen{/}
UI_20150317_000004	{@st43}Lerne ein Attribut{/}
UI_20150317_000005	{@st59}Schließen{/}
UI_20150317_000006	{@st41b}Silber{/}
UI_20150317_000007	Meine Erfolge
UI_20150317_000008	Server Ranking
UI_20150317_000009	{@st59}Ein unerwartetes Event ist eingetreten.{/}
UI_20150317_000010	{@st59}Hier ist ein neuer Tipp.{/}
UI_20150317_000011	{@st41}Bist du sicher, das du diese Art an Pfeilen herstellen willst?{/}
UI_20150317_000012	{@st41b}Einmalig{/}
UI_20150317_000013	{@st41b}Alle{/}
UI_20150317_000014	{@st41b}Pause{/}
UI_20150317_000015	{@st43}Abenteurer-Journal{/}
UI_20150317_000016	{@st43}Auktionshaus{/}
UI_20150317_000017	{@st59}Schließen{/}
UI_20150317_000018	{@st41b}Items verkauft : ×%s, Items nicht verkauft : ×%s{/}
UI_20150317_000019	{@st43}{s22}Item Auktion{/}
UI_20150317_000020	{@st59}Schließen{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}Verbleibende Zeit
UI_20150317_000023	3 Stunden 16 Minuten
UI_20150317_000024	{@st41b}Startpreis
UI_20150317_000025	{@st41b}Gebote
UI_20150317_000026	{@st41b}Aktueller Preis
UI_20150317_000027	{@st41b}Gebotener Preis
UI_20150317_000028	{@st41b}Mindestgebot von {@st57}%s{@st41b}Silber{/}
UI_20150317_000029	{@st41b}Bieten{/}
UI_20150317_000030	{@st43b}Sofort kaufen!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Einstellungen (Genehmigung){/}
UI_20150317_000032	{@st45}Name: %s{/}
UI_20150317_000033	{@st45}Party Lager{/}
UI_20150317_000034	{@st49}Nichts
UI_20150317_000035	{@st49}Laden
UI_20150317_000036	{@st49}Abfragen
UI_20150317_000037	{@st45}Umfrage{/}
UI_20150317_000038	{@st49}Erstellen
UI_20150317_000039	{@st49}Löschen
UI_20150317_000040	{@st44}Speichern{/}
UI_20150317_000041	{@st44}Abbrechen{/}
UI_20150317_000042	{@st43}{s22}Friseur{/}
UI_20150317_000043	{@st59}vorherige Frisur{/}
UI_20150317_000044	{@st59}Nächste Frisur{/}
UI_20150317_000045	{@st41b}Ändern{s18} (100 TP erforderlich) {/}
UI_20150317_000046	{@st59}Neue Frisur übernehmen.{/}
UI_20150317_000047	{@st41}Abbrechen
UI_20150317_000048	{@st43}Schwarzmarkt{/}
UI_20150317_000049	Buchname
UI_20150317_000050	{@St59}Aufhören zu lesen{/}
UI_20150317_000051	{@st59}Vorherige Seite{/}
UI_20150317_000052	{@st59}Nächste Seite{/}
UI_20150317_000053	{@st47}%s erschienen!
UI_20150317_000054	{@st43}Punktestand{/}
UI_20150317_000055	Schaden erhalten
UI_20150317_000056	Technik Bonus
UI_20150317_000057	Ausweichen Bonus
UI_20150317_000058	Clear Time
UI_20150317_000059	Endergebnis
UI_20150317_000060	{@st42}verstrichene Zeit
UI_20150317_000061	10 Minuten
UI_20150317_000062	10 Sekunden
UI_20150317_000063	{@st44}vollständig
UI_20150317_000064	{@st59}Schließen{/}
UI_20150317_000065	{@st43}Buff-Automat
UI_20150317_000066	Automatenname
UI_20150317_000067	{@st43}Registieren
UI_20150317_000068	{@st43}Abbrechen
UI_20150317_000069	Buff-Automat
UI_20150317_000070	{@st59}Schließen
UI_20150317_000071	{@st59}Buff-Automat{nl} - Du kannst Silber bezahlen, um Buffs von einem anderen Spieler zu erhalten.
UI_20150317_000072	Fracht Menü
UI_20150317_000073	{ol}{s22}Aussteigen{/}
UI_20150317_000074	Zaubern
UI_20150317_000075	{@st43}Einstellungen{/}
UI_20150317_000076	{@st64}Verwende die Pfeiltasten, um eine Zelle auszuwählen!
UI_20150317_000077	{@st43}Fortschritt {/}
UI_20150317_000078	{@st43}Wähle eine Klasse
UI_20150317_000079	Psychokinesist
UI_20150317_000080	{@st42}%s Circle {/}
UI_20150317_000081	How many circles
UI_20150317_000082	Zeigt eine kurze Beschreibung der Klasse an.
UI_20150317_000083	{@st41b}Schaden {@sti7}%s{/}
UI_20150317_000084	{@st41b}Unterstützung {@sti7}%s{/}
UI_20150317_000085	{@st41b}Schwierigkeit{@sti7}%s{/}
UI_20150317_000086	{@st59}Schließen{/}
UI_20150317_000087	Advancement Alarm
UI_20150317_000088	{@st43} Fortschritt
UI_20150317_000089	{@sti7}{s14} Charakter {/}
UI_20150317_000090	{@sti8}{s14} Klasse {/}
UI_20150317_000091	{@st44}Chat{/}
UI_20150317_000092	To. and 1 other
UI_20150317_000093	Allgemein: /s chat {nl} Global: /y chat {nl} Party: /p chat{nl} Flüstern: /w character's username chat
UI_20150317_000094	{@st41}Alle Chats{/}
UI_20150317_000095	{@59}Quit{/}
UI_20150317_000096	{@59}Einladen{/}
UI_20150317_000097	{@st59}Alle{/}
UI_20150317_000098	{@st59}Normal (/s chat){/}
UI_20150317_000099	{@st59}Global (/y chat){/}
UI_20150317_000100	{@st59}Party (/p chat){/}
UI_20150317_000101	{@st59}Flüstern (/w team name chat){/}
UI_20150317_000102	{@st59}Chatfenster anpassen{/}
UI_20150317_000103	{@st43}{s22}Chat Macro{/}
UI_20150317_000104	{@st43}Macro{/}
